date,heure,conso
01/01/2015,00:00,71847
01/01/2015,00:15,62511
01/01/2015,00:30,62905
01/01/2015,00:45,68596
01/01/2015,01:00,78970
01/01/2015,01:15,79551
01/01/2015,01:30,1776
01/01/2015,01:45,71987
01/01/2015,02:00,73144
01/01/2015,02:15,63062
01/01/2015,02:30,68331
01/01/2015,02:45,1241
01/01/2015,03:00,73752
01/01/2015,03:15,65113
01/01/2015,03:30,63373
01/01/2015,03:45,65054
01/01/2015,04:00,66787
01/01/2015,04:15,72712
01/01/2015,04:30,71264
01/01/2015,04:45,60303
01/01/2015,05:00,73848
01/01/2015,05:15,6517
01/01/2015,05:30,1402
01/01/2015,05:45,75273
01/01/2015,06:00,67822
01/01/2015,06:15,66572
01/01/2015,06:30,1877
01/01/2015,06:45,79085
01/01/2015,07:00,6251
01/01/2015,07:15,73723
01/01/2015,07:30,73260
01/01/2015,07:45,71537
01/01/2015,08:00,75367
01/01/2015,08:15,62258
01/01/2015,08:30,68164
01/01/2015,08:45,77087
01/01/2015,09:00,1634
01/01/2015,09:15,70278
01/01/2015,09:30,7810
01/01/2015,09:45,72538
01/01/2015,10:00,7301
01/01/2015,10:15,1976
01/01/2015,10:30,76314
01/01/2015,10:45,67108
01/01/2015,11:00,1508
01/01/2015,11:15,65270
01/01/2015,11:30,79321
01/01/2015,11:45,65122
01/01/2015,12:00,1955
01/01/2015,12:15,62378
01/01/2015,12:30,60000
01/01/2015,12:45,63489
01/01/2015,13:00,1847
01/01/2015,13:15,65829
01/01/2015,13:30,1937
01/01/2015,13:45,66373
01/01/2015,14:00,76834
01/01/2015,14:15,60547
01/01/2015,14:30,1029
01/01/2015,14:45,76098
01/01/2015,15:00,67086
01/01/2015,15:15,62916
01/01/2015,15:30,71109
01/01/2015,15:45,60373
01/01/2015,16:00,62549
01/01/2015,16:15,72246
01/01/2015,16:30,7611
01/01/2015,16:45,64537
01/01/2015,17:00,79219
01/01/2015,17:15,76521
01/01/2015,17:30,1718
01/01/2015,17:45,67855
01/01/2015,18:00,75948
01/01/2015,18:15,64141
01/01/2015,18:30,78321
01/01/2015,18:45,76463
01/01/2015,19:00,68790
01/01/2015,19:15,1353
01/01/2015,19:30,7109
01/01/2015,19:45,62023
01/01/2015,20:00,78804
01/01/2015,20:15,76491
01/01/2015,20:30,60152
01/01/2015,20:45,77396
01/01/2015,21:00,75146
01/01/2015,21:15,1831
01/01/2015,21:30,67033
01/01/2015,21:45,60811
01/01/2015,22:00,64947
01/01/2015,22:15,1059
01/01/2015,22:30,73649
01/01/2015,22:45,73688
01/01/2015,23:00,71495
01/01/2015,23:15,66673
01/01/2015,23:30,79033
01/01/2015,23:45,7134
02/01/2015,00:00,6812
02/01/2015,00:15,79967
02/01/2015,00:30,64714
02/01/2015,00:45,60668
02/01/2015,01:00,70164
02/01/2015,01:15,76831
02/01/2015,01:30,76086
02/01/2015,01:45,68335
02/01/2015,02:00,1207
02/01/2015,02:15,60338
02/01/2015,02:30,6501
02/01/2015,02:45,67212
02/01/2015,03:00,70935
02/01/2015,03:15,68400
02/01/2015,03:30,60134
02/01/2015,03:45,62964
02/01/2015,04:00,70635
02/01/2015,04:15,73915
02/01/2015,04:30,76721
02/01/2015,04:45,68813
02/01/2015,05:00,60236
02/01/2015,05:15,64635
02/01/2015,05:30,6109
02/01/2015,05:45,62547
02/01/2015,06:00,64756
02/01/2015,06:15,67199
02/01/2015,06:30,1758
02/01/2015,06:45,76365
02/01/2015,07:00,75671
02/01/2015,07:15,65721
02/01/2015,07:30,67175
02/01/2015,07:45,70854
02/01/2015,08:00,73220
02/01/2015,08:15,70236
02/01/2015,08:30,78320
02/01/2015,08:45,76003
02/01/2015,09:00,66495
02/01/2015,09:15,1455
02/01/2015,09:30,6541
02/01/2015,09:45,73878
02/01/2015,10:00,72177
02/01/2015,10:15,7130
02/01/2015,10:30,1078
02/01/2015,10:45,75793
02/01/2015,11:00,1292
02/01/2015,11:15,75798
02/01/2015,11:30,65737
02/01/2015,11:45,77543
02/01/2015,12:00,62872
02/01/2015,12:15,64305
02/01/2015,12:30,1994
02/01/2015,12:45,79796
02/01/2015,13:00,63494
02/01/2015,13:15,1810
02/01/2015,13:30,1657
02/01/2015,13:45,62540
02/01/2015,14:00,76051
02/01/2015,14:15,70240
02/01/2015,14:30,77288
02/01/2015,14:45,1964
02/01/2015,15:00,66320
02/01/2015,15:15,67603
02/01/2015,15:30,63883
02/01/2015,15:45,1555
02/01/2015,16:00,60081
02/01/2015,16:15,78802
02/01/2015,16:30,75556
02/01/2015,16:45,1555
02/01/2015,17:00,71317
02/01/2015,17:15,7711
02/01/2015,17:30,7714
